category,sub_category,rule_title,rule_description
While on Train,Order Food,Ordering Food on Train,"Food can be ordered on train through: IRCTC e-catering portal (ecatering.irctc.co.in), the RailOne app, or by calling 1323. Delivery is available at select stations on the route. Menu and pricing are displayed on the e-catering portal. Payment can be made online or cash on delivery."
Complaint Procedures,RailMadad,RailMadad Complaint Portal,"RailMadad (railmadad.indianrailways.gov.in) is the primary centralized grievance redressal portal for all train and station-related issues. Available as website and mobile app. Requires PNR or UTS number to register. Complaints are tracked with a unique ID and escalated automatically if unresolved."
Complaint Procedures,Helpline 139,Railway Helpline 139,"139 is a 24x7 centralized helpline for: security concerns, medical emergencies, cleanliness issues, general complaints, and train enquiries. Available in multiple languages. Integrated with RailMadad for complaint tracking."
Complaint Procedures,SMS Complaint,SMS Based Complaints,"Complaints can be sent via SMS to 9717630982. Include PNR/UTS number and brief description. Also used for CLEAN requests (SMS CLEAN <PNR> to 58888) and train enquiry."
Complaint Procedures,RPF/GRP Complaint,RPF and GRP Complaint Process,"For security issues: RPF handles railway property protection and passenger safety. GRP (Government Railway Police) handles criminal matters (theft, robbery, assault). RPF helpline: 182. For theft on train, contact TTE/Guard/RPF on board. FIR forms are available with onboard staff — fill and hand back, no need to break journey."
Complaint Procedures,Theft on Train,Theft Reporting on Train,"If theft occurs on train: immediately inform the TTE, Guard, or RPF personnel on board. On-board staff carry FIR forms — fill one out and hand it back. No need to break your journey to file an FIR. Call RPF helpline 182 or general helpline 139. File formal complaint through RailMadad portal."
Complaint Procedures,Lost Ticket,Lost Ticket Procedure,"If paper ticket is lost: Before charting — get duplicate ticket from PRS counter by paying small clerkage fee. After charting — pay 50% of fare for duplicate ticket. E-tickets can be shown from the IRCTC app. No refund is provided for lost tickets but duplicate allows journey completion. Report loss immediately to prevent fraudulent use."
Complaint Procedures,CPGRAMS,CPGRAMS Integration,"CPGRAMS (Centralized Public Grievance Redress and Monitoring System) at pgportal.gov.in handles broader public grievances. For specific train/station issues, RailMadad is recommended for faster resolution. CPGRAMS is suitable for policy-level or systemic complaints."
Railway Staff Roles,Coach Attendant,Coach Attendant Duties,"Coach Attendant must report 30-60 minutes before departure. Ensures all internal fittings (lights, fans, reading lamps, charging sockets, water supply) are operational. Pre-cools AC coaches and ensures bedrolls availability. Carries passenger list and assists with berth queries. Coordinates cleaning with safaiwalas. Monitors AC plant parameters every 2 hours. Attends to minor electrical/mechanical issues."
Railway Staff Roles,Train Superintendent,Train Superintendent / Train Captain Role,"The Train Superintendent (Train Captain) is the overall in-charge of onboard services on premium and long-distance trains. All personnel (TTEs, coach attendants, catering staff, OBHS housekeeping) report to the Train Captain. Responsible for service quality, addressing passenger complaints, ensuring staff are in proper uniform with name badges. Prepares trip report at end of journey. Primary point of contact during emergencies."
Railway Staff Roles,Catering Staff,Onboard Catering Staff Rules,"Catering services managed by IRCTC through pantry cars and static units. Staff must display printed menu cards with prices. IRCTC supervisors monitor food safety and hygiene. Must follow FSSAI standards. Passengers can report catering issues via 138 helpline or @IRCATERING on Twitter."
Railway Staff Roles,OBHS Staff,Onboard Housekeeping Service Rules,"OBHS (Onboard Housekeeping Services) staff handle continuous cleaning of cabins, toilets, and washbasins during the journey. Coordinated with CTS (Clean Train Station) scheme. Real-time monitoring is implemented for service quality. Passengers can request cleaning via SMS 58888 or RailMadad app."
Reservation Quotas,General Quota Details,General Quota Detailed Rules,"General Quota (GN) is the largest allocation in any train. Booking opens 60 days in advance at 08:00 AM for online and at counter opening hours for PRS. No additional charges over base fare. Available for all classes. Can result in GNWL if seats are full."
Reservation Quotas,Lower Berth Quota,Lower Berth Quota Rules,"Lower berth quota is for: Senior citizens (men 60+ and women 58+), persons with disabilities, and pregnant women. Automatic allotment of lower berths subject to availability. Can be requested at time of booking. If lower berth not available, regular berth is allotted."
Reservation Quotas,Handicapped Quota,Handicapped/PwD Quota Rules,"Persons with Disabilities (PwD) can book under the Handicapped Quota with valid disability certificate from government hospital. Fare concession of 50-75% depending on disability type. Escort allowed to travel at same concession rate. Both lower berth preference and wheelchair assistance available."
Information Services,eRail.in,eRail.in Services,"eRail.in is a popular third-party Indian Railways enquiry platform providing: PNR status check, live train running status, train schedule and route, seat availability, fare enquiry, train statistics, and coach composition. Free to use. Available in English and Hindi."
Information Services,SMS Enquiry,SMS Based Railway Enquiry,"Railway information available via SMS: Send SPOT <train_no> to 139 for running status. PNR status: Send PNR <10-digit PNR> to 139. Seat availability: Call 139 and follow voice prompts. Available 24x7."
Information Services,Coach Layout,Coach Layout Information,"Coach layout and composition details available on erail.in and the NTES app. Shows berth numbers, door positions, and class arrangement. Useful for planning boarding position on platform. Layout varies by train type (Rajdhani, Shatabdi, Mail/Express, Vande Bharat)."
Train Types,Rajdhani Express,Rajdhani Express Rules,"Rajdhani Express trains connect major cities to New Delhi. Fully air-conditioned. Dynamic (flexi) fare applies. Meals are included in the ticket price. Premium service with priority for punctuality. Available classes: 1A, 2A, 3A. All stops are limited for faster journey."
Train Types,Shatabdi Express,Shatabdi Express Rules,"Shatabdi Express trains are day-travel premium trains connecting cities within 500-700 km distance. Only chair car classes (CC and EC). Return journey the same day. Dynamic fare applies. Meals included. No overnight travel."
Train Types,Vande Bharat Express,Vande Bharat Express Rules,"Vande Bharat Express is India's premium semi-high-speed train. Maximum speed of 160 kmph. Available classes: CC (Chair Car) and EC (Executive Chair Car). Dynamic fare applies. Complimentary meals included. If delayed by 2+ hours, additional complimentary meals provided. Automatic doors, bio-vacuum toilets, and WiFi onboard."
Train Types,Duronto Express,Duronto Express Rules,"Duronto Express trains are non-stop (zero halt) trains between major cities. Available in AC classes (1A, 2A, 3A) and Sleeper. Dynamic fare applies for AC classes. Meals included for AC passengers. One of the fastest train categories on the network."
Train Types,Garib Rath Express,Garib Rath Express Rules,"Garib Rath Express offers AC 3-Tier travel at significantly reduced fares compared to Rajdhani/Shatabdi. Designed for budget-conscious AC travelers. No bedding provided. Limited stops for faster journey. Available classes: 3A only."
Train Types,Jan Shatabdi Express,Jan Shatabdi Express Rules,"Jan Shatabdi Express is an economical version of Shatabdi Express. Day travel inter-city service. Available in both AC (CC) and non-AC (2S) classes. Meals not included in ticket price but available for purchase. Fixed fare (no dynamic pricing)."
Train Types,Passenger/Local,Passenger and Local Train Rules,"Passenger trains stop at all stations on the route. Slowest category. General unreserved tickets. No reservation required. Monthly/quarterly season tickets available. Fare is the cheapest among all train types."
Foreign Tourist Rules,Safety Tips,Safety Guidelines for Foreign Tourists,"Foreign tourists should: carry original passport and visa at all times during train travel. Use the Foreign Tourist Quota for easier booking. Keep valuables secure and use chain-locks for bags. Avoid traveling in general/unreserved class on long routes. Pre-book meals through e-catering. Download IRCTC and RailOne apps for live updates."
Foreign Tourist Rules,Women Traveller,Women Traveller Safety,"Women travelers can book under Ladies Quota for Sleeper/2S classes. Ladies-only coaches available on suburban trains. RPF women helpline: 182. Avoid general compartments on long-distance trains at night. Emergency alarm chain available in all coaches. Many stations have women-only waiting rooms."
Foreign Tourist Rules,Tourist Information,Railway Tourist Information Centers,"Tourist information centers are available at major railway stations. Provide information about train services, local tourism, hotel booking, and guided tours. Many stations have special tourist assistance counters. Pre-paid taxi services available at most major stations."
Travel Agent Rules,Agent Registration,IRCTC Agent Registration,"Travel agents must register through IRCTC's authorized agent portal. Agents are barred from booking Tatkal tickets during the first 30 minutes of the booking window. Agents must display their valid license at their booking counter. Commission structure varies by class and ticket type."
Travel Agent Rules,Agent Booking Limit,Agent Booking Restrictions,"IRCTC agents have specific booking limits per day. Only one Tatkal ticket per IRCTC user ID in first 30 minutes of booking window. Agents must verify passenger identity for certain quota bookings. Unauthorized bulk booking or use of scripts/bots results in permanent ban."
Penalties and Fines,Ticketless Travel,Revised Penalty for Ticketless Travel (2026),"Under the Jan Vishwas (Amendment of Provisions) Act 2026 effective from June 20 2026, the minimum penalty for ticketless travel is Rs.500 plus the applicable fare and excess charges. Repeat offenders face higher fines. Fines are subject to a 10% increase every three years."
Penalties and Fines,Travelling on Another Ticket,Penalty for Using Another Person's Ticket,"Travelling on another person's ticket attracts a penalty of Rs.500 plus forfeiture of the ticket. Both the original ticket holder and the person using the ticket may face action."
Penalties and Fines,Smoking,Revised Smoking Penalty (2026),"Smoking in trains or railway premises now attracts a penalty of Rs.2000 (increased from Rs.200) under the revised 2026 penalty framework. Applies to all enclosed areas including AC coaches, waiting rooms, platforms, and station buildings."
Penalties and Fines,Unauthorized Hawking,Penalty for Unauthorized Hawking/Begging,"Unauthorized hawking or begging on trains and railway premises attracts a fine of Rs.2000. Persistent offenders may face imprisonment of up to one year."
Penalties and Fines,Nuisance and Drunkenness,Penalty for Nuisance/Drunkenness/Abusive Language,"Creating nuisance, abusive language, or drunkenness on trains or railway premises: Rs.1000 for first offence and up to Rs.5000 for repeat offenders. May also result in imprisonment."
Penalties and Fines,Trespassing,Penalty for Unauthorized Entry/Trespassing,"Unauthorized entry or trespassing on railway tracks, bridges, or restricted railway premises attracts a penalty of Rs.500. Railway property damage leads to additional charges under the Railway Property (Unlawful Possession) Act."
Penalties and Fines,Men in Ladies Coach,Penalty for Men in Women's Reserved Coach,"Male passengers found travelling in coaches or compartments reserved for women face a penalty of Rs.2500 under the 2026 revised penalty framework. This includes ladies-only coaches in suburban/local trains and ladies quota berths in long-distance trains."
Penalties and Fines,Dangerous Goods,Penalty for Carrying Dangerous/Prohibited Goods,"Carrying dangerous or prohibited goods (explosives, inflammable materials, corrosive substances, gas cylinders, acids) on passenger trains attracts a minimum penalty of Rs.10000. The goods are confiscated and the passenger may face criminal prosecution."
Penalties and Fines,Obstructing Staff,Penalty for Obstructing Railway Staff,"Obstructing or assaulting railway staff on duty attracts a penalty of Rs.2500. This includes TTE, RPF, Station Master, Guard, and any other railway employee performing their duties."
Penalties and Fines,General Disobedience,General Disobedience of Railway Rules,"General disobedience of railway rules (Section 166 of Railways Act) attracts Rs.2000 for first offence and Rs.5000 for repeat violations under the 2026 amendment."
Penalties and Fines,Penalty Collection,On-the-Spot Penalty Collection Rules,"Railway penalties are generally collected on the spot by authorized railway staff (TTE, RPF). A receipt must be provided to the passenger. Failure to pay the penalty can result in the matter being referred to a competent court for further legal action."
Women and Solo Travellers,Ladies Coach,Ladies Coach and Compartment Rules,"Many local, suburban, and passenger trains feature dedicated coaches exclusively for women. Male passengers travelling in these coaches face a penalty of Rs.2500. In long-distance trains, specific berths are earmarked under the Ladies Quota in Sleeper and Second Sitting classes."
Women and Solo Travellers,Ladies Berth Allocation,Ladies Quota Berth Allocation Details,"In Sleeper Class, typically 6 berths per train are earmarked for women under Ladies Quota. In AC coaches (2A/3A), a combined quota with senior citizens provides 2-4 lower berths per coach. Women travelling with male children under 12 can also be accommodated under this quota."
Women and Solo Travellers,Meri Saheli Initiative,RPF Meri Saheli Initiative,"Meri Saheli is a pan-India initiative by the Railway Protection Force (RPF) focused on safety and security of female passengers travelling alone. RPF personnel escort solo women travellers covering their journey from originating station to destination. Women can request Meri Saheli assistance through the 182 helpline or RPF personnel at the station."
Women and Solo Travellers,Women Helpline,Women Safety Helpline Numbers,"Women's safety helplines: 182 (dedicated RPF women's helpline, toll-free, 24x7), 139 (general railway helpline for all security assistance), 138 (non-emergency issues). Women can also tweet @RPaborad or @RailMinIndia for help."
Women and Solo Travellers,Solo Travel Safety Tips,Safety Tips for Solo Women Travellers,"Book tickets in advance via IRCTC. Opt for upper berths for privacy and security. Plan journeys to arrive during daylight hours. Share travel details and live location with family or friends. Be cautious about sharing personal information with strangers. Carry safety tools like pepper spray for emergencies. Seek help from TTE or RPF if uncomfortable."
Women and Solo Travellers,Night Safety,Women Safety During Night Travel,"During night travel: ensure vestibule doors are locked (TTE responsibility). Use the curtains provided on berths. Keep phone charged and within reach. Emergency alarm chain is available in all coaches. Do not accept food or drinks from strangers. Report any suspicious activity to TTE or RPF immediately."
UTS and SMS Ticketing,UTS Mobile App,UTS Mobile App Detailed Rules,"UTS (Unreserved Ticketing System) on Mobile app is the official platform for booking unreserved, platform, and season tickets. Registration requires mobile number and personal details. Two booking modes: Paperless (GPS-enabled, ticket on phone) and Paper (receive Booking ID, print at ATVM/counter). Booking via UTS inside station premises is NOT permitted."
UTS and SMS Ticketing,Paperless Ticket,UTS Paperless Ticket Rules,"Paperless tickets booked via UTS app: GPS must be enabled and you must be outside station premises/tracks to book. Journey must commence within 1 hour of booking. No printout needed — show ticket on phone to checking staff. If phone battery dies and ticket cannot be shown, treated as travelling without ticket."
UTS and SMS Ticketing,Paper Ticket via App,UTS Paper Ticket via App,"Paper tickets booked via UTS app: receive a Booking ID in the app. Must visit source station and print ticket from ATVM (Automatic Ticket Vending Machine) or counter before boarding. Cannot board train without printed ticket."
UTS and SMS Ticketing,SMS Enquiry Services,SMS Based Railway Services (Not Booking),"SMS services are for ENQUIRY only — cannot book tickets via SMS. Available services: Send SPOT <train_no> to 139 for running status. Send PNR <10-digit number> to 139 for PNR status. Call 139 for seat availability and general enquiry. erail.in is for information only, not for booking."
eRail.in,Privacy Policy,eRail.in Privacy and Data Policy,"eRail.in is a third-party information portal and does not handle any ticket booking or payment. It collects minimal user data for analytics. No personal railway booking information is stored. The platform provides train enquiry, PNR status check, and schedule information sourced from Indian Railways public data. Not affiliated with Indian Railways or IRCTC officially."
Station Amenities,Airport Transfer,Airport Transfer Services at Railway Stations,"Many major railway stations offer pre-paid taxi and cab services for airport transfers. Services include Ola, Uber, and state transport bus connections. Some stations like New Delhi, Mumbai CST, and Chennai Central have dedicated airport shuttle counters. Pre-booking through apps is recommended. Auto-rickshaw and metro connectivity is also available at major stations for airport access."
Foreign Tourist Rules,Festivals,Indian Railway Festival Special Trains,"Indian Railways runs special festival trains during peak seasons including Diwali, Holi, Chhath Puja, Christmas, and summer holidays. These are temporary additional services to handle extra passenger load. Booking opens closer to the festival dates. Suvidha trains with dynamic pricing are commonly deployed during festivals. Foreign tourists can plan visits during major Indian festivals like Republic Day (Jan 26), Independence Day (Aug 15), Diwali, Holi, and Durga Puja for unique cultural experiences."
Foreign Tourist Rules,Airport Transfer for Tourists,Airport to Railway Station Transfer Guide for Tourists,"Foreign tourists arriving at Indian airports can reach railway stations via: Pre-paid taxi counters inside airport terminals, metro rail (available in Delhi, Mumbai, Bangalore, Chennai, Kolkata, Hyderabad), app-based cabs (Ola/Uber), and airport shuttle buses. New Delhi Railway Station is connected to the Airport Express Metro Line. Mumbai CST is accessible via local trains from the airport area. Pre-booking transport is recommended for first-time visitors."
